sid	name	lat1	lat2	lng1	lng2	alt
47401	稚内	45	24.9	141	40.7	28
47402	北見枝幸	44	56.4	142	35.1	67
47404	羽幌	44	21.8	141	42.0	79
47405	雄武	44	34.8	142	57.8	141
47406	留萌	43	56.7	141	37.9	236
47407	旭川	43	45.4	142	22.3	1198
47409	網走	44	1.0	144	16.7	376
47411	小樽	43	10.9	141	0.9	249
47412	札幌	43	3.6	141	19.7	174
47413	岩見沢	43	12.7	141	47.1	423
47417	帯広	42	55.3	143	12.7	384
47418	釧路	42	59.1	144	22.6	45
47420	根室	43	19.8	145	35.1	252
47421	寿都	42	47.7	140	13.4	334
47423	室蘭	42	18.7	140	58.5	399
47424	苫小牧	42	37.4	141	32.8	63
47426	浦河	42	9.7	142	46.6	367
47428	江差	41	52.0	140	7.4	37
47430	函館	41	49.0	140	45.2	350
47433	倶知安	42	54.0	140	45.4	1761
47435	紋別	44	20.7	143	21.3	158
47440	広尾	42	17.6	143	19.0	324
47512	大船渡	39	3.8	141	42.8	369
47520	新庄	38	45.4	140	18.7	1051
47570	若松	37	29.3	139	54.6	2117
47574	深浦	40	38.7	139	55.9	661
47575	青森	40	49.3	140	46.1	28
47576	むつ	41	17.0	141	12.6	29
47581	八戸	40	31.6	141	31.3	271
47582	秋田	39	43.0	140	5.9	63
47584	盛岡	39	41.9	141	9.9	1552
47585	宮古	39	38.8	141	57.9	425
47587	酒田	38	54.5	139	50.6	31
47588	山形	38	15.3	140	20.7	1525
47590	仙台	38	15.7	140	53.8	389
47592	石巻	38	25.6	141	17.9	425
47595	福島	37	45.5	140	28.2	674
47597	白河	37	7.9	140	12.9	3550
47598	小名浜	36	56.8	140	54.2	33
47600	輪島	37	23.4	136	53.7	52
47602	相川	38	1.7	138	14.4	55
47604	新潟	37	53.6	139	1.1	41
47605	金沢	36	35.3	136	38.0	57
47606	伏木	36	47.5	137	3.3	116
47607	富山	36	42.5	137	12.1	86
47610	長野	36	39.7	138	11.5	4182
47612	高田	37	6.4	138	14.8	129
47615	宇都宮	36	32.9	139	52.1	1194
47616	福井	36	3.3	136	13.3	88
47617	高山	36	9.3	137	15.2	5600
47618	松本	36	14.8	137	58.2	6100
47620	諏訪	36	2.7	138	6.5	7601
47622	軽井沢	36	20.5	138	32.8	9991
47624	前橋	36	24.3	139	3.6	1121
47626	熊谷	36	9.0	139	22.8	300
47629	水戸	36	22.8	140	28.0	290
47631	敦賀	35	39.2	136	3.7	16
47632	岐阜	35	24.0	136	45.7	127
47636	名古屋	35	10.0	136	57.9	511
47637	飯田	35	31.4	137	49.3	5164
47638	甲府	35	40.0	138	33.2	2728
47639	富士山	35	21.6	138	43.6	37751
47640	河口湖	35	30.0	138	45.6	8596
47641	秩父	35	59.4	139	4.4	2321
47646	館野	36	3.4	140	7.5	252
47648	銚子	35	44.3	140	51.4	201
47649	上野	34	45.7	136	8.5	1592
47651	津	34	44.0	136	31.1	27
47653	伊良湖	34	37.7	137	5.6	62
47654	浜松	34	45.2	137	42.7	459
47655	御前崎	34	36.2	138	12.7	447
47656	静岡	34	58.5	138	24.2	141
47657	三島	35	6.8	138	55.5	205
47662	東京	35	41.5	139	45.0	252
47663	尾鷲	34	4.1	136	11.6	153
47666	石廊崎	34	36.2	138	50.5	522
47668	網代	35	2.7	139	5.5	669
47670	横浜	35	26.3	139	39.1	391
47672	館山	34	59.2	139	51.9	58
47674	勝浦	35	9.0	140	18.7	119
47675	大島	34	44.9	139	21.7	740
47677	三宅島	34	7.4	139	31.2	382
47678	八丈島	33	7.3	139	46.7	1512
47682	千葉	35	36.1	140	6.2	35
47684	四日市	34	56.4	136	34.8	551
47690	日光	36	44.3	139	30.0	12919
47740	西郷	36	12.2	133	20.0	265
47741	松江	35	27.4	133	3.9	169
47742	境	35	32.6	133	14.1	20
47744	米子	35	26.0	133	20.3	65
47746	鳥取	35	29.2	134	14.3	71
47747	豊岡	35	32.1	134	49.3	34
47750	舞鶴	35	27.0	135	19.0	24
47754	萩	34	24.6	131	24.3	22
47755	浜田	34	53.8	132	4.2	190
47756	津山	35	3.8	134	0.5	1457
47759	京都	35	0.8	135	43.9	408
47761	彦根	35	16.5	136	14.6	873
47762	下関	33	56.9	130	55.5	33
47765	広島	34	23.9	132	27.7	36
47766	呉	34	14.4	132	33.0	35
47767	福山	34	26.8	133	14.8	16
47768	岡山	34	41.1	133	55.5	53
47769	姫路	34	50.3	134	40.2	382
47770	神戸	34	41.8	135	12.7	53
47772	大阪	34	40.9	135	31.1	230
47776	洲本	34	20.3	134	54.3	1093
47777	和歌山	34	13.7	135	9.8	139
47778	潮岬	33	27.0	135	45.4	675
47780	奈良	34	41.6	135	49.6	1044
47784	山口	34	9.7	131	27.7	181
47800	厳原	34	11.8	129	17.5	37
47805	平戸	33	21.6	129	33.0	578
47807	福岡	33	34.9	130	22.5	25
47809	飯塚	33	39.1	130	41.6	371
47812	佐世保	33	9.5	129	43.6	39
47813	佐賀	33	15.9	130	18.3	55
47814	日田	33	19.3	130	55.7	829
47815	大分	33	14.1	131	37.1	46
47817	長崎	32	44.0	129	52.0	269
47818	雲仙岳	32	44.2	130	15.7	6775
47819	熊本	32	48.8	130	42.4	377
47821	阿蘇山	32	52.8	131	4.4	11423
47822	延岡	32	34.9	131	39.4	192
47823	阿久根	32	1.6	130	12.0	401
47824	人吉	32	13.0	130	45.3	1458
47827	鹿児島	31	33.3	130	32.8	39
47829	都城	31	43.8	131	4.9	1538
47830	宮崎	31	56.3	131	24.8	92
47831	枕崎	31	16.3	130	17.5	295
47835	油津	31	34.7	131	24.4	29
47836	屋久島	30	23.1	130	39.5	373
47837	種子島	30	43.2	130	58.9	249
47838	牛深	32	11.8	130	1.6	30
47843	福江	32	41.6	128	49.6	251
47887	松山	33	50.6	132	46.6	322
47890	多度津	34	16.5	133	45.1	37
47891	高松	34	19.0	134	3.2	87
47892	宇和島	33	13.6	132	33.1	24
47893	高知	33	34.0	133	32.9	5
47895	徳島	34	4.0	134	34.4	16
47897	宿毛	32	55.2	132	41.7	22
47898	清水	32	43.3	133	0.6	310
47899	室戸岬	33	15.1	134	10.6	1850
47909	名瀬	28	22.7	129	29.7	28
47912	与那国島	24	28.0	123	0.6	300
47917	西表島	24	25.6	123	45.9	99
47918	石垣島	24	20.2	124	9.8	57
47927	宮古島	24	47.6	125	16.7	399
47929	久米島	26	20.2	126	48.2	50
47936	那覇	26	12.4	127	41.2	281
47940	名護	26	35.6	127	57.9	61
47945	南大東島	25	49.7	131	13.7	153
47971	父島	27	5.5	142	11.4	27
47991	南鳥島	24	17.3	153	59.0	71
